symbol,companyName,industry,cik,sector,country,mktCap,price,revenue,inventory,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,priceEarningsRatio,grossProfitMargin,operatingProfitMargin,returnOnEquity,enterpriseValue,roic,capexToDepreciation,investedCapital,revenuePerShare,bookValuePerShare,ebitda,eps
AMD,"Advanced Micro Devices, Inc.",Semiconductors,2488,Technology,US,188310872400,116.04,6819000000,-386000000,95.95248570171580,142.25294117647100,66.97058823529410,86.33171206225680,0.5013931661533950,0.1061739257955710,0.01352987628323240,264588000000.0,0.012784664762998100,0.16793893129771000,57962000000,4.20925925925926,35.175925925925900,1546000000,0.48
SNPS,"Synopsys, Inc.",Software - Infrastructure,883241,Technology,US,76135848120,492.54,1635986000,19854000,51.40771375794170,86.8384339093869,49.75686824541430,17.978212465869500,0.7707663757513820,0.1899783983481520,0.12391757618036900,76906462510.0,0.0278738341860475,0.02992350382480880,8592483000,10.487694802905300,57.844401279561,310802000,1.79
VECO,Veeco Instruments Inc.,Semiconductors,103145,Technology,US,1515410158,26.69,184807000,2985000,79.4492632854816,206.3626463123600,42.65701352323950,21.284489317115400,0.42861471697500600,0.1316779126331800,0.029404475974489600,2019533300.0000000,0.021188954088463000,0.6509541673462730,938688000,3.27613898244992,13.23380606275480,33692000,0.4
SITM,SiTime Corporation,Semiconductors,1451809,Technology,US,5405499560,231.38,57698000,9874000,47.06835592221570,229.15235025326800,57.205199957493500,-51.583974501682600,0.5107109431869390,-0.43091614960657200,-0.02774206984710620,3976888870.0,-0.035932021390321000,1.8575765241588700,781934000,2.4830227654172200,29.962344536730200,-14475000,-0.83
ICHR,"Ichor Holdings, Ltd.",Semiconductors,1652535,Technology,US,1079465600,32.0,211139000,-7884000,35.86973510341530,117.49410956214400,39.74229334380520,-96.69396952089340,0.13162419069901800,-0.0018234433240661400,-0.003981212577533970,1123853837.56,-0.0004887664658679610,0.8324164198053320,834922000,6.265206491371010,20.690501784467700,6117000,-0.0824
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,866291,Technology,US,4224272640,22.96,187391000,-2845000,36.97429438980530,156.28109978472200,44.45192619607000,-34.14279943207130,0.45712974475828600,0.021703283508813100,-0.03592712794218370,4835028083.5,0.002369982886182760,0.6233668812902420,1216850000,0.9905284754934180,4.96190854509275,-16733000,-0.18
MXL,"MaxLinear, Inc.",Semiconductors,1288469,Technology,US,1740383934,20.63,81102000,-1325000,53.188577347044500,233.5279023283450,74.45626924531360,-4.015938246354820,0.5435131069517400,-0.8229513452196,-0.1360905199040350,1220987520.0,-0.09020292514300730,0.49003459067698900,622324000,0.9646501891191090,6.623593500963440,-67701000,-0.9
DELL,Dell Technologies Inc.,Computer Hardware,1571996,Technology,US,80391695613,114.77,24366000000,0,59.80054173848810,31.411931371005800,110.49897686132500,20.553673469387800,0.21780349667569600,0.06546006730690310,-0.49321663019693700,112452960000.0,0.05679527495565230,0.0,19252000000,34.41525423728810,-3.093220338983050,-933000000,1.58
PI,"Impinj, Inc.",Communication Equipment,1114995,Technology,US,4062808732,143.62,95198000,-7553000,60.862833252799400,166.95983539440300,38.74446240735690,6899.248144796380,0.4996848673291460,-0.008077900796235220,0.0016238179560467000,6318506360.0,-0.0009472711074090800,1.6664613489374800,87113000,3.3796506674240300,4.831688440783870,4894000,0.0078
AMBA,"Ambarella, Inc.",Semiconductors,1280263,Technology,US,3155590340,75.67,82653000,-5951000,36.98631628616020,98.71350638450930,68.05437323901450,-24.001767073657100,0.5963606886622390,-0.3240898696962000,-0.04342633435264620,2189831140.92,-0.04914266411603030,0.38586201574317000,560963000,2.009649468581890,13.477292441745600,-36174000,-0.58
WDC,Western Digital Corporation,Computer Hardware,106040,Technology,US,21717376560,62.82,4095000000,-76000000,54.02197802197800,119.71698113207500,68.27830188679250,12.109776876267700,0.37875457875457900,0.1811965811965810,0.04234303873572100,29575480000.0,0.03058833327591500,0.7111111111111110,15657000000,11.904069767441900,34.51162790697670,862000000,1.4
INDI,"indie Semiconductor, Inc.",Semiconductors,1841925,Technology,US,764907520,4.16,53965000,8846000,93.66570925599930,143.41979835013700,71.55178735105410,-3.603772405046090,0.3934957843046420,-0.9247289910126940,-0.10834256505089800,814233482.51,-0.07811418374035360,0.40473870682019500,689591000,0.300655158594858,2.7232677381014100,-49903000,-0.28
SYNA,Synaptics Incorporated,Semiconductors,817720,Technology,US,3043637232,75.98,257700000,-4600000,47.427240977881300,78.6842105263158,54.80263157894740,-33.54935064935070,0.4691501746216530,-0.0403570042685293,-0.01574320179922310,3267960000.0,-0.0028714667237836400,0.2861635220125790,2088200000,6.5240506329113900,37.14683544303800,3400000,-0.58
MCHP,Microchip Technology Incorporated,Semiconductors,827054,Technology,US,29637581900,55.19,1163800000,-27500000,80.75872142979890,243.4161114476080,37.10478497880070,137.40957589285700,0.5744114108953430,0.12596666093830600,0.012492232189805400,49263143000.0,0.009891593388368870,0.17004264392324100,10127400000,2.1684367430594400,11.693497298304500,338200000,0.15
INTC,Intel Corporation,Semiconductors,50863,Technology,US,82593950000,19.15,13284000000,-853000000,21.144986449864500,96.17967573314430,88.30158589527780,-1.5418853296472100,0.15033122553447800,-0.6817976513098470,-0.16717236667604400,144072720000.0,-0.11307339223957600,1.7879291251384300,143881000000,3.0950605778192000,24.43243243243240,-5226000000,-3.88
LASR,"nLIGHT, Inc.",Semiconductors,1124796,Technology,US,539503516,11.14,56129000,3515000,64.5901405690463,100.84031299479100,34.007893710273300,-12.446583696178000,0.22359208252418500,-0.21021218977712100,-0.043928252645896200,485718770.0,-0.05145021371539900,1.8411428571428600,247185000,1.166123034093030,4.887914736251640,-7521000,-0.21
WOLF,"Wolfspeed, Inc.",Semiconductors,895419,Technology,US,648782040,5.08,194700000,-25600000,82.65023112480740,182.3776526634910,28.648765699437000,-1.0890415485471300,-0.1859270672830000,-1.1818181818181800,-0.4487199872793770,6682410100.0,-0.03389224784083930,6.146272855133610,6017700000,1.5363007267246900,4.962401268809230,-146200000,-2.23
